lat	DMS	MeSH	MeSH_DMS	Acetonitrile	Acetaldehyde	Acetone	Chlorophyll	CO	Isoprene
57.5151	5.9872	NA		1.391	13.3752	24.8545	0.504157122	17.78471123	3.425
57.5201	7.0276	NA		1.5285	15.6252	30.7623	0.470722138	17.28510476	3.9899
57.5251	6.4096	NA		1.5157	15.6654	27.1966	0.499015825	18.36705996	3.9733
57.5301	6.4766	NA		1.2685	15.2667	27.5864	0.44292879	18.8930514	4.808
57.5350	5.8165	NA		0.8412	11.3878	23.2555	0.437239398	19.43102149	3.9269
57.5400	6.1427	NA		1.3124	14.4006	26.8758	0.498301254	19.72865587	4.2312
57.5450	6.7504	NA		1.0731	13.8788	26.0542	0.532816436	18.0464388	4.2435
57.5501	7.5343	NA		1.273	14.9441	29.0962	0.492361814	18.61574566	3.9764
57.5551	7.5303	NA		1.5327	14.4772	25.3444	0.444630732	17.30769731	3.4407
57.5601	8.1473	NA		1.3255	15.8074	24.4461	0.425185392	17.91349281	3.5784
57.5651	7.979	NA		1.4864	13.7185	22.4378	0.390974154	18.13482139	4.0569
57.5701	7.7217	NA		1.3465	14.0371	20.6193	0.216801906	16.43490211	4.1522
57.5751	8.649	NA		1.3323	16.4528	24.7506	0.14606843	16.13262673	3.6268
57.5802	8.3877	NA		1.4231	14.8048	23.779	0.14393259	15.97917466	4.1183
57.5854	7.9913	NA		1.2835	13.9381	23.2639	0.186635206	14.98628044	4.1478
57.5906	8.3081	NA		1.2307	14.3523	24.8095	0.181854943	15.06863977	4.1887
57.5958	8.7179	NA		1.2879	15.05	23.9539	0.149783611	16.63670006	3.8772
57.6008	7.875	NA		1.1497	13.3953	25.8002	0.143446007	16.38906135	3.5029
57.6058	8.6941	NA		1.3013	13.7571	25.099	0.113712381	14.48777797	4.1823
57.6110	8.6956	NA		0.8788	11.6922	22.6961	0.097136656	14.59306196	3.4973
57.6162	10.3691	NA		1.4286	17.2192	30.4685	0.119959546	14.86552957	4.7047
57.6214	8.8704	NA		1.291	11.8965	23.3734	0.111335407	14.50353171	3.3323
57.6266	9.7128	NA		0.8815	13.5744	26.4145	0.11365128	16.18660745	3.3936
57.6319	10.0788	NA		1.2932	14.8554	26.2933	0.107622918	16.5297446	4.2127
57.6370	11.2354	NA		1.8624	18.5657	31.2334	0.104362857	16.49324646	4.4479
57.6420	8.8563	NA		1.1561	13.327	23.9734	0.085432806	17.97669851	3.2411
57.6470	8.5352	NA		1.3455	12.2061	24.5915	0.07514413	16.64629571	3.1026
57.6522	8.9712	NA		1.4238	16.0608	26.6108	0.073075281	15.5264606	4.6458
57.6574	8.4847	NA		1.1464	14.7167	24.5618	0.069405379	18.73621233	3.8376
57.6626	7.6024	NA		0.9513	11.7309	19.9152	0.060309264	18.64541727	3.321
57.6678	8.5955	NA		1.0195	16.4713	23.2949	0.05654504	16.89317044	3.8501
57.6729	8.3089	NA		1.3928	13.7658	21.5465	0.057460421	17.49614412	3.8479
57.6783	8.1271	NA		1.1973	13.0721	19.1155	0.069504774	18.43467216	3.4945
57.6842	8.338	NA		1.342	15.7713	22.8567	0.069225738	19.46490438	3.899
57.6900	7.0128	NA		1.1067	12.2309	18.7829	0.05939063	19.24476488	3.6089
57.6959	7.6335	NA		0.8602	12.2185	22.0068	0.076335067	18.22096331	3.5796
57.7018	7.9697	NA		1.7106	15.6647	23.5468	0.065067989	17.97403322	3.6497
57.7077	7.8801	NA		1.1842	13.1408	20.5993	0.06625985	17.635433	3.6561
57.7135	7.621	NA		0.9097	12.3283	18.1172	0.070641363	16.68306944	2.9308
57.7193	7.8708	NA		1.1232	14.1954	20.7955	0.03794372	16.3278313	3.6317
57.7252	8.1958	NA		1.4236	13.1965	21.406	0.023478787	16.61600062	3.7814
57.7310	8.1499	NA		0.9521	13.5028	21.0347	0.015911455	19.86327357	3.8032
57.7361	8.8946	NA		1.5357	17.4941	27.2117	0.019028792	20.98242386	4.2894
57.7403	8.3647	NA		1.3884	13.6496	21.9367	0.025144151	19.63434607	3.4599
57.7446	8.8168	NA		1.153	14.3209	24.9706	0.02575953	18.46047899	3.6732
57.7490	9.6759	NA		1.0714	15.0255	27.9592	0.02491706	18.47385726	3.8871
57.7535	10.0386	NA		1.3438	17.4588	26.6088	0.010449157	19.28581306	3.9889
57.7580	9.1088	NA		1.4342	13.5623	22.1147	0.014624709	18.8944859	4.0827
57.7623	9.1347	NA		1.2054	11.5794	20.8948	0.015811571	18.2378332	3.8533
57.7665	10.4198	NA		1.2922	15.4174	24.1136	0.029740896	18.42653114	4.5129
57.7709	9.6284	NA		1.2254	12.6452	22.5146	0.04673762	17.89958978	3.5181
57.7755	10.8719	NA		1.2211	15.3988	26.1026	0.058691932	17.99797291	4.0905
57.7800	10.5221	NA		1.3679	13.4436	23.6286	0.068015908	19.17699191	3.9399
57.7845	9.729	NA		1.1788	12.8699	22.0112	0.084270523	17.46871452	3.5811
57.7890	11.3779	NA		1.4723	15.1321	26.9442	0.086603598	19.24864833	3.9884
57.7935	9.5958	NA		0.9938	12.5565	21.0129	0.077251203	18.7073837	3.308
57.7982	9.844	NA		0.9818	11.2553	21.5988	0.068852241	17.7563118	3.3249
57.8035	11.1163	NA		1.6166	16.085	31.0539	0.071961604	20.40244376	4.7092
57.8088	9.5684	NA		1.3014	13.2219	23.52	0.070204081	22.50532978	3.8057
57.8141	9.9259	NA		1.8431	14.5482	24.5043	0.092582162	20.67772823	3.5728
57.8193	10.4251	NA		1.3538	12.9233	23.4213	0.104020661	21.58057148	3.9542
57.8245	10.3161	NA		1.183	14.1735	24.9602	0.112613212	21.65262748	3.9171
57.8296	10.0628	NA		1.2276	11.988	23.7016	0.117165374	20.73732378	3.4602
57.8349	10.8064	NA		1.5131	14.846	26.4104	0.123177729	19.15088109	3.8954
57.8402	10.5797	NA		0.8693	14.3404	25.3265	0.143979677	18.25263444	3.6917
57.8455	11.1181	NA		1.233	16.2875	25.6242	0.168945602	19.51238327	3.7441
57.8509	10.9863	NA		1.5595	12.951	23.7799	0.154433747	20.87891097	3.7662
57.8562	11.1431	NA		1.5803	13.0268	23.1241	0.143102335	19.26729091	4.1145
57.8615	10.4775	NA		1.1388	11.4062	22.6603	0.161807891	18.13353601	3.4261
57.8669	12.3881	NA		1.3248	15.2377	26.9301	0.16280894	18.8778382	3.8139
57.8721	11.4921	NA		1.1102	12.9335	23.7975	0.16823247	19.27698694	3.6627
57.8776	11.7041	NA		1.254	13.9469	23.7344	0.15645131	19.33665738	3.5223
57.8831	11.3125	NA		1.1183	13.9634	24.3459	0.15216507	21.02481716	3.8957
57.8884	10.4278	NA		1.2837	11.9352	21.8036	0.142306678	22.35202151	3.349
57.8936	11.3033	NA		1.3785	14.0859	20.5783	0.126126785	21.03791528	3.4465
57.8990	10.4981	NA		1.0163	10.7983	20.2446	0.109423406	20.38455017	3.0983
57.9045	12.7088	NA		1.1492	14.6557	22.5485	0.094676748	20.41478515	3.2094
57.9099	11.6623	NA		0.9308	13.951	21.8983	0.109226578	20.7435372	3.329
57.9154	11.4625	NA		1.1614	15.2549	22.6268	0.117032638	21.030176	3.6674
57.9208	9.5413	NA		1.181	10.7851	18.2011	0.129911218	19.56367474	3.0455
57.9262	9.9356	NA		1.4617	13.0745	19.9697	0.138495108	17.0470841	2.8338
57.9316	9.6942	NA		1.0597	12.4828	20.0622	0.147670219	15.98097513	3.0974
57.9372	10.5212	NA		1.5385	14.4893	23.3282	0.162029601	14.73614281	3.8389
57.9427	8.7438	NA		1.1094	11.9253	19.8989	0.158137503	16.26312007	3.3138
57.9482	8.8786	NA		1.1223	13.7273	21.4496	0.149433347	18.60011231	3.373
57.9537	8.5887	NA		1.2835	14.9695	23.5455	0.115763583	17.54482319	3.6578
57.9591	7.7161	NA		1.3604	12.8086	18.5727	0.104497821	16.7961681	3.0386
57.9645	7.2892	NA		1.1328	12.0987	16.8813	0.095224149	17.66914859	3.1776
57.9700	7.9251	NA		1.3498	15.0375	21.5121	0.095260544	17.64856016	3.3014
57.9755	7.4455	NA		1.0966	15.1311	22.4605	0.088027242	18.52261863	3.208
57.9810	7.7404	NA		1.7565	14.9673	23.9009	0.070549648	18.66729893	3.8468
57.9865	7.4364	NA		1.1537	13.1885	20.2184	0.060037686	18.02550959	3.5498
57.9921	7.5107	NA		1.5957	14.3751	22.0493	0.043630244	18.42437949	3.4929
57.9977	7.1758	NA		1.3545	13.1009	20.736	0.042057996	17.60290247	2.6173
58.0032	7.1629	NA		1.3339	13.7119	17.5491	0.047462543	19.88871853	3.0853
58.0087	8.4361	NA		1.711	18.5717	23.8462	0.03501676	20.19143785	3.3855
58.0141	7.5942	NA		1.01	12.9399	20.1157	0.028282987	19.47468019	3.2145
58.0195	8.2961	NA		1.6448	14.1315	19.8882	0.02415622	19.05950003	3.0256
58.0249	8.5266	NA		1.665	15.2998	22.1003	0.011144815	18.50413907	3.5181
58.0304	9.0924	NA		1.5816	15.7047	22.9846	-0.004247101	19.95343758	3.6158
58.0361	8.5703	NA		1.2906	12.5611	18.6721	-0.015330064	23.21628602	3.134
58.0417	8.981	NA		1.3132	12.9548	17.4717	-0.007000344	23.07219104	3.0526
58.0472	9.9761	NA		1.518	15.3341	21.5343	-0.00613761	20.29681226	2.9973
