lat	lon	DMS [nmol/L]	MeSH [nmol/L]	sum	DMS_MeSH	MeSH_DMS	DMS_frac	MeSH_frac
63.0615186	3.4179596	10.1659	0.614	10.7799	16.557	0.060	94.3	5.7
63.0907013	3.4204459	5.8721	0.6007	6.4728	9.775	0.102	90.7	9.3
63.1190762	3.4233557	6.5193	0.5531	7.0724	11.787	0.085	92.2	7.8
63.147421	3.4256862	6.2348	0.5684	6.8032	10.969	0.091	91.6	8.4
63.1760437	3.4281396	6.807	0.6418	7.4488	10.606	0.094	91.4	8.6
63.2053356	3.4306595	7.3905	0.7431	8.1336	9.945	0.101	90.9	9.1
63.23466	3.4333109	8.8631	0.5441	9.4072	16.289	0.061	94.2	5.8
63.2638504	3.4358515	7.022	0.689	7.711	10.192	0.098	91.1	8.9
63.2935241	3.4384295	8.88	0.7338	9.6138	12.101	0.083	92.4	7.6
63.3229133	3.4412249	9.4	0.7467	10.1467	12.589	0.079	92.6	7.4
63.3516618	3.4444236	9.301	0.6833	9.9843	13.612	0.073	93.2	6.8
63.3799818	3.4467288	7.7976	0.7029	8.5005	11.093	0.090	91.7	8.3
63.4090005	3.4493633	7.8006	0.6886	8.4892	11.328	0.088	91.9	8.1
63.4382426	3.4521416	7.7845	0.7105	8.495	10.956	0.091	91.6	8.4
63.4676127	3.4544868	7.2766	0.5865	7.8631	12.407	0.081	92.5	7.5
63.4973202	3.4568517	6.3302	0.654	6.9842	9.679	0.103	90.6	9.4
63.5268109	3.4593979	6.6358	0.6856	7.3214	9.679	0.103	90.6	9.4
63.5566318	3.4619079	6.8334	0.6484	7.4818	10.539	0.095	91.3	8.7
63.5861447	3.4646058	7.0986	0.7181	7.8167	9.885	0.101	90.8	9.2
63.6153883	3.4675037	6.295	0.6753	6.9703	9.322	0.107	90.3	9.7
63.6440826	3.4701023	5.9715	0.657	6.6285	9.089	0.110	90.1	9.9
63.6726639	3.4728196	5.8252	0.6032	6.4284	9.657	0.104	90.6	9.4
63.7007908	3.4756255	5.076	0.6609	5.7369	7.680	0.130	88.5	11.5
63.7286415	3.4779427	5.8681	0.803	6.6711	7.308	0.137	88.0	12.0
63.7564309	3.4799272	10.7284	0.787	11.5154	13.632	0.073	93.2	6.8
63.7840127	3.4829334	9.3786	0.7199	10.0985	13.028	0.077	92.9	7.1
63.8111106	3.4851696	7.905	0.812	8.717	9.735	0.103	90.7	9.3
63.8387671	3.4876112	12.1599	0.8148	12.9747	14.924	0.067	93.7	6.3
63.8662772	3.4905356	17.459	1.0445	18.5035	16.715	0.060	94.4	5.6
63.8936082	3.4926866	20.0385	1.0057	21.0442	19.925	0.050	95.2	4.8
63.9207228	3.4952075	15.258	0.9045	16.1625	16.869	0.059	94.4	5.6
63.9472349	3.4972863	10.7872	0.8367	11.6239	12.893	0.078	92.8	7.2
63.9732069	3.5002317	5.9737	0.7524	6.7261	7.940	0.126	88.8	11.2
63.9989997	3.5018905	5.8773	0.7929	6.6702	7.412	0.135	88.1	11.9
64.0243525	3.5049507	6.608	0.8078	7.4158	8.180	0.122	89.1	10.9
64.0497151	3.5070177	5.3658	0.7999	6.1657	6.708	0.149	87.0	13.0
64.0750818	3.509571	5.6911	0.7132	6.4043	7.980	0.125	88.9	11.1
64.0997533	3.5115603	6.9669	0.7332	7.7001	9.502	0.105	90.5	9.5
64.1241532	3.5139313	7.0617	0.7511	7.8128	9.402	0.106	90.4	9.6
64.1484192	3.5159575	7.9405	0.7696	8.7101	10.318	0.097	91.2	8.8
64.1725898	3.5184433	8.1243	0.7891	8.9134	10.296	0.097	91.1	8.9
64.1968657	3.5207383	9.1083	0.89	9.9983	10.234	0.098	91.1	8.9
64.2214103	3.5222878	9.6616	0.749	10.4106	12.899	0.078	92.8	7.2
64.245909	3.5253428	9.4652	0.7245	10.1897	13.064	0.077	92.9	7.1
64.2706207	3.5275105	9.4166	0.7283	10.1449	12.930	0.077	92.8	7.2
64.2951146	3.5294445	7.9466	0.6832	8.6298	11.631	0.086	92.1	7.9
64.3194995	3.5321707	6.7652	0.7338	7.499	9.219	0.108	90.2	9.8
64.3438547	3.5343875	8.8042	0.6967	9.5009	12.637	0.079	92.7	7.3
64.3684216	3.53659	7.7582	0.6708	8.429	11.566	0.086	92.0	8.0
64.3928675	3.5386101	8.1405	0.6665	8.807	12.214	0.082	92.4	7.6
64.4173022	3.5404763	6.9617	0.6199	7.5816	11.230	0.089	91.8	8.2
64.4417057	3.5430725	7.8309	0.6916	8.5225	11.323	0.088	91.9	8.1
64.4663154	3.5456376	8.4416	0.7422	9.1838	11.374	0.088	91.9	8.1
64.4923443	3.5476844	7.0683	0.7614	7.8297	9.283	0.108	90.3	9.7
64.5191174	3.5502611	8.3062	0.7575	9.0637	10.965	0.091	91.6	8.4
64.5460747	3.5525012	8.1092	0.8367	8.9459	9.692	0.103	90.6	9.4
64.5733702	3.5553316	6.6295	0.7328	7.3623	9.047	0.111	90.0	10.0
64.6008317	3.5577804	5.2485	0.7743	6.0228	6.778	0.148	87.1	12.9
64.6283028	3.5600707	6.7313	0.7721	7.5034	8.718	0.115	89.7	10.3
64.65543	3.563434	9.1591	0.691	9.8501	13.255	0.075	93.0	7.0
64.6831825	3.5651524	8.5427	0.7431	9.2858	11.496	0.087	92.0	8.0
64.7114534	3.567892	7.1313	0.6947	7.826	10.265	0.097	91.1	8.9
64.7381117	3.5701725	7.9591	0.695	8.6541	11.452	0.087	92.0	8.0
64.7642925	3.5731447	7.5556	0.7329	8.2885	10.309	0.097	91.2	8.8
64.7917037	3.5753002	9.0013	0.8152	9.8165	11.042	0.091	91.7	8.3
64.8218075	3.5783547	9.8248	0.8119	10.6367	12.101	0.083	92.4	7.6
64.8522535	3.5813565	11.7834	0.8796	12.663	13.396	0.075	93.1	6.9
64.8812658	3.5842825	13.7989	1.0094	14.8083	13.670	0.073	93.2	6.8
64.9093417	3.5867353	14.5788	1.0507	15.6295	13.875	0.072	93.3	6.7
64.9378768	3.5890824	15.3073	1.0591	16.3664	14.453	0.069	93.5	6.5
64.9661739	3.5917736	15.8201	1.1043	16.9244	14.326	0.070	93.5	6.5
64.9944631	3.5948691	13.3898	1.0766	14.4664	12.437	0.080	92.6	7.4
65.0227132	3.5976132	11.8488	1.1918	13.0406	9.942	0.101	90.9	9.1
65.051201	3.6001962	11.0749	1.1267	12.2016	9.830	0.102	90.8	9.2
65.0796655	3.6031116	10.1182	1.0977	11.2159	9.218	0.108	90.2	9.8
65.1080923	3.6054392	8.7688	1.0777	9.8465	8.137	0.123	89.1	10.9
65.1364538	3.608215	8.5283	1.0094	9.5377	8.449	0.118	89.4	10.6
65.1649478	3.610951	6.3818	1.1551	7.5369	5.525	0.181	84.7	15.3
65.1932419	3.613891	6.3119	1.1045	7.4164	5.715	0.175	85.1	14.9
65.2156018	3.6150549	7.4007	1.1515	8.5522	6.427	0.156	86.5	13.5
65.2334662	3.6177465	11.3331	1.191	12.5241	9.516	0.105	90.5	9.5
65.2615536	3.620159	8.9402	1.2683	10.2085	7.049	0.142	87.6	12.4
65.7588882	3.6680087	9.7508	1.3617	11.1125	7.161	0.140	87.7	12.3
65.7658118	3.6685076	9.199	1.3119	10.5109	7.012	0.143	87.5	12.5
65.7727297	3.6695992	9.6247	1.4677	11.0924	6.558	0.152	86.8	13.2
65.7795752	3.6703228	9.6575	1.4367	11.0942	6.722	0.149	87.0	13.0
65.7864088	3.6707595	9.4288	1.4871	10.9159	6.340	0.158	86.4	13.6
65.7932362	3.671318	9.6726	1.5109	11.1835	6.402	0.156	86.5	13.5
65.8000896	3.6718868	9.6095	1.4955	11.105	6.426	0.156	86.5	13.5
65.8070649	3.6726325	9.4521	1.4744	10.9265	6.411	0.156	86.5	13.5
65.8139868	3.6732879	9.4966	1.4831	10.9797	6.403	0.156	86.5	13.5
65.8209179	3.6739973	9.4142	1.4868	10.901	6.332	0.158	86.4	13.6
65.827818	3.6753119	9.6414	1.4341	11.0755	6.723	0.149	87.1	12.9
65.8346469	3.6754804	9.781	1.4349	11.2159	6.817	0.147	87.2	12.8
65.8415592	3.6758877	9.7774	1.4605	11.2379	6.695	0.149	87.0	13.0
65.8485127	3.6770906	9.7929	1.4517	11.2446	6.746	0.148	87.1	12.9
65.8555339	3.6780014	9.6963	1.3936	11.0899	6.958	0.144	87.4	12.6
65.8625837	3.6785706	9.7658	1.3924	11.1582	7.014	0.143	87.5	12.5
65.8695967	3.6790271	9.6676	1.3775	11.0451	7.018	0.142	87.5	12.5
